1612656000000,1661.0,1724.86,1587.8,1683.94
1613001600000,1608.64,1769.05,1608.64,1739.16
1613347200000,1782.51,1841.2,1782.51,1804.98
1613692800000,1775.76,1938.57,1775.76,1938.57
1614038400000,1969.98,1969.98,1788.62,1788.62
1614384000000,1563.92,1628.39,1450.99,1450.99
1614470400000,1480.13,1570.4,1416.66,1497.09
1615075200000,1579.43,1661.93,1539.05,1661.93
1615420800000,1727.46,1869.33,1727.46,1802.31
1615766400000,1826.06,1927.72,1770.94,1866.07
1616112000000,1791.05,1828.75,1780.16,1780.16
1616457600000,1817.13,1817.86,1686.89,1686.89
1616803200000,1673.86,1700.37,1581.63,1700.37
1617148800000,1713.84,1840.29,1689.04,1840.29
1617408000000,1915.83,2134.1,1915.83,2134.1
1617753600000,2016.67,2115.06,2016.67,2115.06
1618099200000,1989.15,2142.8,1989.15,2142.8
1618444800000,2150.27,2429.66,2142.48,2429.66
1618790400000,2514.17,2514.17,2245.76,2245.76
1619136000000,2168.03,2426.07,2168.03,2426.07
1619481600000,2364.23,2532.39,2212.84,2532.39
1619740800000,2647.16,2757.5,2647.16,2757.5
1620000000000,2776.7,2953.3,2776.7,2953.3
1620345600000,3439.86,3524.56,3245.66,3495.08
1620691200000,3493.53,3979.61,3493.53,3979.61
1621036800000,4182.79,4182.79,3750.34,4088.73
1621382400000,3659.92,3659.92,3288.23,3399.05
1621728000000,2505.01,2778.28,2306.37,2306.37
1622073600000,2120.04,2882.48,2120.04,2882.48
1622419200000,2742.99,2742.99,2294.63,2395.85
